Hora y día cuando fue detectado el terremoto;Lugar del epicentro;Magnitud;La mayor intensidad sísmica;Hora y día de la emisión
2023/04/21 07:43;Alta mar de Prefectura de Iwate;3.9;1;2023/04/21 07:46
2023/04/21 06:25;Alta mar de Prefectura de Miyagi;3.6;1;2023/04/21 06:28
2023/04/21 03:16;Centro-Oeste de Mino, Prefectura de Gifu;3.2;2;2023/04/21 03:19
2023/04/21 02:20;Mares cercanos de Isla Chichishima;5.6;4;2023/04/21 02:23
2023/04/20 23:46;Sur de Prefectura de Nagano;1.5;1;2023/04/20 23:51
2023/04/20 13:07;Sur de Prefectura de Kioto;2.5;1;2023/04/20 13:10
2023/04/19 22:33;Región Noto, Prefectura de Ishikawa;3.3;3;2023/04/19 22:36
2023/04/19 19:42;Mares cercanos de Isla Chichishima;4.4;1;2023/04/19 19:46
2023/04/19 12:23;Canal de Kii;2.8;1;2023/04/19 12:26
2023/04/18 19:37;Región Noto, Prefectura de Ishikawa;3.2;1;2023/04/18 19:40
2023/04/18 07:56;Mares cercanos de Islas Tokara;2.0;1;2023/04/18 08:00
2023/04/18 03:03;Mares cercanos de Isla principal de Okinawa;3.2;1;2023/04/18 03:06
2023/04/17 00:36;Alta mar de Prefectura de Fukushima;3.5;1;2023/04/17 00:39
2023/04/16 17:16;Sur de Prefectura de Nagano;3.3;3;2023/04/16 17:20
2023/04/16 12:25;Alta mar de Prefectura de Fukushima;4.6;4;2023/04/16 12:29
2023/04/16 10:45;Región Kumamoto, Prefectura de Kumamoto;3.5;3;2023/04/16 10:49
2023/04/16 06:48;Alta mar este de Península de Osumi;3.1;1;2023/04/16 06:51
2023/04/16 03:42;Mares cercanos de Islas Tokara;2.3;1;2023/04/16 03:45
2023/04/16 01:14;Canal de Kii;3.4;1;2023/04/16 01:17
2023/04/14 21:41;Alta mar de Prefectura de Iwate;4.4;2;2023/04/14 21:44
2023/04/14 19:23;Alta mar Sudeste de Península de Nemuro;3.7;2;2023/04/14 19:26
2023/04/14 17:25;Alta mar este de Prefectura de Chiba;3.0;1;2023/04/14 17:28
2023/04/14 10:59;Norte de Prefectura de Okayama;3.1;2;2023/04/14 11:02
2023/04/14 10:53;Alta mar de Kushiro;3.3;1;2023/04/14 10:56
2023/04/14 04:55;Carca de Indonesia;7.0;-;2023/04/14 05:21
2023/04/13 21:10;Alta mar de Prefectura de Fukushima;3.8;1;2023/04/13 21:13
2023/04/13 20:04;Mares cercanos de Isla Chichishima;4.2;1;2023/04/13 20:07
