id_ubicacion,propiedades aseguradas,monto asegurado,primas emitidas,propiedades aseguradas,monto asegurado.1,id_tipo construcción,year,idcountry
26,70185,143192,217705,135880,296326,3,2020,2
27,328692,772850,1929774,651173,1605289,3,2020,2
28,162097,375519,595932,332043,811130,3,2020,2
29,24028,63269,102471,52163,142939,3,2020,2
30,15775,34389,99690,31280,73570,3,2020,2
31,8024,14446,19664,14795,29206,3,2020,2
32,6939,12041,15833,12088,23540,3,2020,2
33,39369,81146,117345,80092,178844,3,2020,2
34,65404,148720,219753,133255,320815,3,2020,2
35,26258,53300,79015,53571,118832,3,2020,2
36,20655,33852,99447,35654,69060,3,2020,2
37,25164,53336,110534,48759,113136,3,2020,2
38,23724,48447,118694,48705,108360,3,2020,2
39,14104,28986,94281,29136,66108,3,2020,2
40,191810,381567,574637,380009,812270,3,2020,2
41,14027,29889,42054,27075,60848,3,2020,2
42,17465,35878,54795,36098,80478,3,2020,2
43,46306,96801,155200,97554,232777,3,2020,2
44,20505,39505,91081,42293,89689,3,2020,2
45,18074,35469,81769,37950,79837,3,2020,2
46,31106,61389,98303,64694,138403,3,2020,2
47,33521,55573,127915,64944,117539,3,2020,2
1,96832,222422,657396,204059,484080,4,2020,2
2,24153,47471,141193,49059,102566,4,2020,2
3,17515,43145,114212,39373,99892,4,2020,2
4,70358,182588,787722,159627,446907,4,2020,2
5,16459,38223,107005,37439,91456,4,2020,2
6,14958,38935,101720,33290,88077,4,2020,2
7,36463,101046,382856,82202,235625,4,2020,2
8,50631,129636,939677,122245,323144,4,2020,2
9,40263,106191,264907,91290,237846,4,2020,2
10,36505,89388,232617,84044,207432,4,2020,2
11,133851,332261,2348119,307564,794593,4,2020,2
12,106463,253594,2171550,233172,587851,4,2020,2
13,206692,490421,3928550,418019,1070173,4,2020,2
14,151640,378327,3094794,320606,833986,4,2020,2
15,43085,86252,284158,92907,212898,4,2020,2
16,16824,42433,122187,42014,106482,4,2020,2
17,19436,41812,122634,48898,109859,4,2020,2
18,13898,35193,105510,34700,88582,4,2020,2
19,15230,36464,169289,37668,90504,4,2020,2
20,33784,86174,230339,77267,199454,4,2020,2
21,45005,101326,320895,97597,227735,4,2020,2
22,59442,137635,1188972,131690,332404,4,2020,2
23,142261,307772,1605125,292260,686789,4,2020,2
24,28671,64604,352656,59520,140387,4,2020,2
25,20766,48761,127507,46226,110756,4,2020,2
26,46081,121317,362471,100690,269124,4,2020,2
27,134734,366784,1702000,282270,777456,4,2020,2
28,68386,175187,522682,151194,392079,4,2020,2
29,23392,66534,200416,53058,152614,4,2020,2
30,15094,35746,208764,34252,82591,4,2020,2
31,8391,20251,60749,21031,51844,4,2020,2
32,7928,17806,55161,19653,47154,4,2020,2
33,25965,68255,190968,61778,166560,4,2020,2
34,39698,103763,283937,92368,244964,4,2020,2
35,17956,43673,124544,42687,104877,4,2020,2
36,9956,20958,180089,23349,51442,4,2020,2
37,14595,36768,181908,38184,98162,4,2020,2
38,19974,46856,252016,48959,116382,4,2020,2
39,9368,22307,193757,23377,57564,4,2020,2
40,84004,199384,550833,187547,457463,4,2020,2
41,12019,29394,85829,28694,70629,4,2020,2
42,16237,35900,96227,35315,80944,4,2020,2
43,44174,108617,353192,123188,314233,4,2020,2
44,13767,32263,153193,32783,77728,4,2020,2
45,19022,44414,203438,43625,103573,4,2020,2
46,28122,60064,173872,68092,148581,4,2020,2
47,979,1627,7916,1985,3310,4,2020,2
1,106465,1358378,2286960,252113,3280577,1,2021,2
2,11700,160655,241260,26515,365959,1,2021,2
3,13638,198793,336565,35992,515076,1,2021,2
4,61244,866234,2286336,163806,2330607,1,2021,2
5,7781,106686,168692,18612,257037,1,2021,2
6,11134,153068,234126,25142,371040,1,2021,2
7,27888,439158,914467,70931,1112907,1,2021,2
8,53763,739360,2790675,131265,1850372,1,2021,2
9,33125,495053,812017,86903,1297167,1,2021,2
10,24739,350772,588212,63384,919279,1,2021,2
11,160233,1835353,8593122,409239,5093444,1,2021,2
12,155576,1751596,10919356,405875,4763090,1,2021,2
13,539908,6346491,40489921,1406701,17242434,1,2021,2
14,296911,3120799,19872555,759854,8514395,1,2021,2
15,19068,277350,492061,53186,774098,1,2021,2
16,8824,136353,234756,23257,359399,1,2021,2
17,11164,164440,301070,30216,459741,1,2021,2
18,8153,130991,227484,21829,354918,1,2021,2
19,14757,217832,588816,40996,600158,1,2021,2
20,25457,389028,644462,64782,994906,1,2021,2
21,33039,487216,868772,96958,1456934,1,2021,2
22,72747,1059174,5815265,182723,2675983,1,2021,2
23,209157,2939152,7926498,556462,8015004,1,2021,2
24,35210,505908,1236089,88645,1264576,1,2021,2
25,30478,394427,618567,75092,1033643,1,2021,2
26,56659,741014,1292442,144390,2036345,1,2021,2
27,316196,3554610,9345868,748027,9329365,1,2021,2
28,155878,1774872,3141007,400046,4980707,1,2021,2
29,28368,349496,609347,74610,991424,1,2021,2
30,16627,224034,632354,44494,626876,1,2021,2
31,6358,87920,173065,18318,254789,1,2021,2
32,4604,67031,133435,13589,205356,1,2021,2
33,36981,507908,893896,99608,1381992,1,2021,2
34,64943,872357,1634450,185987,2537189,1,2021,2
35,30037,375117,645965,78892,1014086,1,2021,2
36,13332,184510,800288,39270,554320,1,2021,2
37,21537,282854,820731,61088,826327,1,2021,2
38,22463,332715,921078,64914,941269,1,2021,2
39,12887,188204,755787,36030,523910,1,2021,2
40,154658,1682396,3132744,412027,5126218,1,2021,2
41,12811,153189,267530,32804,420755,1,2021,2
42,16102,200371,376164,42664,566072,1,2021,2
43,32896,438048,875050,96108,1399113,1,2021,2
44,20799,276396,824468,60842,823539,1,2021,2
45,17523,226107,689116,50193,675431,1,2021,2
46,27776,365236,711404,81659,1107057,1,2021,2
47,28533,403970,1226358,79597,1151303,1,2021,2
1,148229,1329840,3790288,358861,3143546,2,2021,2
2,35105,314012,869538,81918,721770,2,2021,2
3,32955,317637,880641,81750,778717,2,2021,2
4,86132,849539,4009521,213314,2077306,2,2021,2
5,26038,243868,728807,69726,643140,2,2021,2
6,26269,265010,716286,64378,632392,2,2021,2
7,59134,582241,2462105,139924,1364375,2,2021,2
8,86465,785269,5918985,203591,1814009,2,2021,2
9,56957,525620,1481845,141222,1302966,2,2021,2
10,48384,436354,1315899,128114,1153407,2,2021,2
11,210249,1768379,13641014,507917,4297652,2,2021,2
12,186283,1616297,14775542,454804,3932391,2,2021,2
13,255758,2221564,20303162,602094,5352505,2,2021,2
14,235706,2054597,17990446,541021,4773266,2,2021,2
15,44343,446924,1499981,124550,1261106,2,2021,2
16,26734,292649,943976,73169,803586,2,2021,2
17,30069,302103,1015654,88766,892653,2,2021,2
18,22333,227319,746533,65565,670614,2,2021,2
19,25312,240811,1317427,74241,701750,2,2021,2
20,54231,591083,1660183,134830,1449781,2,2021,2
21,56487,537656,1638699,153987,1474444,2,2021,2
22,97672,913941,7871891,236638,2190047,2,2021,2
23,187532,1761692,8568746,477730,4498920,2,2021,2
24,46773,433179,2110727,116351,1056353,2,2021,2
25,44145,414331,1069099,100286,952283,2,2021,2
26,87166,741413,2053661,202918,1747494,2,2021,2
27,230476,1829703,8017508,508045,4090103,2,2021,2
28,115126,1034140,2877898,274315,2488013,2,2021,2
29,40516,365350,1036258,101193,926647,2,2021,2
30,28370,228889,1184727,73633,588810,2,2021,2
31,14573,141950,458561,41461,400617,2,2021,2
32,11959,124247,420357,35284,365911,2,2021,2
33,37859,355867,1092375,102671,964531,2,2021,2
34,64188,554767,1792788,177747,1540683,2,2021,2
35,26376,232704,762306,80733,706008,2,2021,2
36,15303,126406,1294925,45695,378806,2,2021,2
37,24049,213433,1175769,69531,617604,2,2021,2
